participant_id,Cultural_Fam,Musicianship,age,nationality,ethnicity,rhythm_name,original_identifier,aligned_beat,trial_errors,trial_durations_sec,trial_adjustments,random_start_beats,initial_beat_offsets,corrected_aligned_beats,is_correct,trial_number_overall,repetition
RHYTHM_1757474809716_y1ill,Indian,Non-Musician,28,india,indian,Jhaptal,2,5,6,22.4,3,7,3,5,FALSE,4,2
RHYTHM_1757474809716_y1ill,Indian,Non-Musician,28,india,indian,Teental,2,5,12,64,9,7,3,5,FALSE,5,2
RHYTHM_1757474809716_y1ill,Indian,Non-Musician,28,india,indian,Rupak,1,5,3,20.6,1,7,4,5,FALSE,6,1
RHYTHM_1757474809716_y1ill,Indian,Non-Musician,28,india,indian,Rupak,2,7,1,77.8,6,5,2,7,FALSE,7,2
RHYTHM_1757474809716_y1ill,Indian,Non-Musician,28,india,indian,Keherva,2,2,7,10.5,0,8,7,2,FALSE,8,2
RHYTHM_1757514621255_ztzqs,Indian,Non-Musician,34,india,indian,Keherva,1,8,1,65,7,5,4,8,FALSE,1,1
RHYTHM_1757514621255_ztzqs,Indian,Non-Musician,34,india,indian,Rupak,1,4,4,110.4,10,7,5,4,FALSE,2,1
RHYTHM_1757514621255_ztzqs,Indian,Non-Musician,34,india,indian,Teental,1,16,1,72,7,10,8,16,FALSE,3,1
RHYTHM_1757514621255_ztzqs,Indian,Non-Musician,34,india,indian,Jhaptal,1,8,3,83.5,9,7,4,8,FALSE,4,1
RHYTHM_1757514621255_ztzqs,Indian,Non-Musician,34,india,indian,Jhaptal,2,8,3,23.9,0,10,3,8,FALSE,5,2
RHYTHM_1757514621255_ztzqs,Indian,Non-Musician,34,india,indian,Rupak,2,4,4,122.1,1,4,3,4,FALSE,6,2
RHYTHM_1757514621255_ztzqs,Indian,Non-Musician,34,india,indian,Teental,2,16,1,30.5,3,8,14,16,FALSE,7,2
RHYTHM_1757514621255_ztzqs,Indian,Non-Musician,34,india,indian,Keherva,2,8,1,64.9,2,1,1,8,FALSE,8,2
RHYTHM_1757513536220_8uxm7,Indian,Non-Musician,54,india,indian,Rupak,1,6,2,215.8,7,7,2,6,FALSE,1,1
RHYTHM_1757513536220_8uxm7,Indian,Non-Musician,54,india,indian,Teental,1,8,9,215.6,16,2,9,8,FALSE,2,1
RHYTHM_1757513536220_8uxm7,Indian,Non-Musician,54,india,indian,Jhaptal,1,5,6,134.5,10,7,6,5,FALSE,3,1
RHYTHM_1757513536220_8uxm7,Indian,Non-Musician,54,india,indian,Keherva,1,3,6,66.5,0,6,6,3,FALSE,4,1
RHYTHM_1757513536220_8uxm7,Indian,Non-Musician,54,india,indian,Keherva,2,4,5,77.2,8,2,5,4,FALSE,5,2
RHYTHM_1757513536220_8uxm7,Indian,Non-Musician,54,india,indian,Teental,2,8,9,51.2,4,9,13,8,FALSE,6,2
RHYTHM_1757513536220_8uxm7,Indian,Non-Musician,54,india,indian,Jhaptal,2,10,1,26.4,3,2,4,10,FALSE,7,2
